GwazName,date,sw_allo,gw_allo,total_allo
Waipara,2005-08-31,133487.8744699568,732586.1255300432,866074.0000000001
Waipara,2005-09-30,129181.73032313609,751881.2696768639,881063.0000000001
Waipara,2005-10-31,133487.8744699568,788036.1255300433,921524.0000000001
Waipara,2005-11-30,129181.73032313609,762613.2696768639,891795.0000000001
Waipara,2005-12-31,133487.8744699568,781670.1255300433,915158.0000000001
Waipara,2006-01-31,133487.8744699568,774338.1255300432,907826.0000000001
Waipara,2006-02-28,120566.40633642537,704191.5936635744,824758.0
Waipara,2006-03-31,133487.8744699568,832251.1255300432,965739.0000000001
Waipara,2006-04-30,129181.73032313609,863347.2696768639,992529.0000000001
Waipara,2006-05-31,133487.8744699568,877512.1255300432,1011000.0000000001
Waipara,2006-06-30,129181.73032313609,880382.2696768639,1009564.0000000001
Waipara,2006-07-31,182412.62110931362,1457619.3788906862,1640031.9999999998
Waipara,2006-08-31,145339.12110931362,838022.8788906863,983361.9999999999
Waipara,2006-09-30,140650.14294918973,810989.8570508102,951640.0
Waipara,2006-10-31,145339.12110931362,838022.8788906863,983361.9999999999
Waipara,2006-11-30,112232.96202352353,741769.0379764765,854002.0
Waipara,2006-12-31,82415.16599009899,627436.834009901,709851.9999999999
Waipara,2007-01-31,82667.04920377421,630217.9507962257,712884.9999999999
Waipara,2007-02-28,75533.99829059829,575069.0017094017,650603.0
Waipara,2007-03-31,83627.42070940169,636684.5792905983,720312.0
Waipara,2007-04-30,80929.58249572648,616147.4175042735,697077.0
Waipara,2007-05-31,91426.2707094017,637070.7292905983,728497.0
Waipara,2007-06-30,91353.68249572649,616618.3175042735,707972.0
Waipara,2007-07-31,82103.76167521368,754397.2383247864,836501.0
Waipara,2007-08-31,82103.76167521368,754397.2383247864,836501.0
Waipara,2007-09-30,79456.13519658119,672753.8648034189,752210.0000000001
Waipara,2007-10-31,81160.94167521369,603889.0583247864,685050.0
Waipara,2007-11-30,76962.3151965812,595929.6848034188,672892.0000000001
Waipara,2007-12-31,79527.22167521369,711965.7783247863,791493.0
Waipara,2008-01-31,79527.22167521369,711965.7783247863,791493.0
Waipara,2008-02-29,81130.61094017095,673040.3890598293,754171.0
Waipara,2008-03-31,100400.73167521368,734110.2683247863,834511.0
Waipara,2008-04-30,97162.5651965812,726352.4348034188,823515.0000000001
Waipara,2008-05-31,100400.73167521368,761401.2683247863,861802.0
Waipara,2008-06-30,97162.5651965812,726228.4348034188,823391.0000000001
Waipara,2008-07-31,97784.5499230769,738710.4500769231,836495.0
Waipara,2008-08-31,97966.9999230769,738733.000076923,836700.0
Waipara,2008-09-30,85349.53928205126,715218.4607179486,800568.0
Waipara,2008-10-31,87108.1099230769,738091.8900769231,825200.0
Waipara,2008-11-30,84298.44928205127,623155.5507179488,707454.0
Waipara,2008-12-31,87108.1099230769,690309.8900769231,777418.0
Waipara,2009-01-31,87108.1099230769,700211.8900769231,787320.0
Waipara,2009-02-28,78677.13716239315,634592.8628376069,713270.0
Waipara,2009-03-31,87108.1099230769,710274.8900769231,797383.0
Waipara,2009-04-30,84298.44928205127,690724.5507179488,775023.0
Waipara,2009-05-31,87108.1099230769,722648.8900769231,809757.0
Waipara,2009-06-30,84298.44928205127,699335.5507179488,783634.0
Waipara,2009-07-31,101958.3199230769,675351.6800769231,777310.0
Waipara,2009-08-31,110882.17992307691,685781.820076923,796664.0
Waipara,2009-09-30,107304.58928205127,670507.4107179487,777812.0
Waipara,2009-10-31,112730.60909558742,741999.3909044125,854730.0
Waipara,2009-11-30,125787.49952048044,771713.5004795196,897501.0
Waipara,2009-12-31,144741.2332190096,818504.7667809903,963246.0
Waipara,2010-01-31,149875.2332190096,841853.7667809903,991729.0
Waipara,2010-02-28,135859.89665748432,784463.1033425156,920323.0000000001
Waipara,2010-03-31,150879.1532190096,895050.8467809904,1045930.0
Waipara,2010-04-30,146011.95952048045,866179.0404795195,1012191.0
Waipara,2010-05-31,150879.1532190096,895050.8467809904,1045930.0
Waipara,2010-06-30,146011.95952048045,866179.0404795195,1012191.0
Waipara,2010-07-31,135863.28289642895,841922.717103571,977786.0
Waipara,2010-08-31,141934.28289642895,849747.717103571,991682.0
Waipara,2010-09-30,142863.7610772827,851544.2389227174,994408.0
Waipara,2010-10-31,147625.28289642895,910110.717103571,1057736.0
Waipara,2010-11-30,142863.7610772827,880752.2389227174,1023616.0
Waipara,2010-12-31,147625.28289642895,910110.717103571,1057736.0
Waipara,2011-01-31,147913.01289642896,910443.9871035711,1058357.0
Waipara,2011-02-28,160995.37734472138,822747.6226552787,983743.0000000001
Waipara,2011-03-31,188318.31289642895,910903.687103571,1099222.0
Waipara,2011-04-30,182244.37107728267,881519.6289227174,1063764.0
Waipara,2011-05-31,188318.31289642895,910903.687103571,1099222.0
Waipara,2011-06-30,182244.37107728267,881519.6289227174,1063764.0
Waipara,2011-07-31,162936.60764996827,896160.3923500318,1059097.0
Waipara,2011-08-31,162936.60764996827,896160.3923500318,1059097.0
Waipara,2011-09-30,157680.2214798912,867247.7785201088,1024928.0000000001
Waipara,2011-10-31,162936.60764996827,896160.3923500318,1059097.0
Waipara,2011-11-30,157680.2214798912,867247.7785201088,1024928.0000000001
Waipara,2011-12-31,162936.60764996827,896160.3923500318,1059097.0
Waipara,2012-01-31,162936.60764996827,896160.3923500318,1059097.0
Waipara,2012-02-29,152425.58753203627,838341.4124679639,990767.0
Waipara,2012-03-31,162936.60764996827,896160.3923500318,1059097.0
Waipara,2012-04-30,157680.2214798912,867247.7785201088,1024928.0000000001
Waipara,2012-05-31,162936.60764996827,896160.3923500318,1059097.0
Waipara,2012-06-30,157680.2214798912,867247.7785201088,1024928.0000000001
Waipara,2012-07-31,163384.07289642896,898611.927103571,1061996.0
Waipara,2012-08-31,163384.07289642896,898611.927103571,1061996.0
Waipara,2012-09-30,158113.34107728268,871285.6589227174,1029399.0
Waipara,2012-10-31,163384.07289642896,911497.927103571,1074882.0
Waipara,2012-11-30,158113.34107728268,882093.6589227174,1040207.0
Waipara,2012-12-31,163384.07289642896,911497.927103571,1074882.0
Waipara,2013-01-31,163384.07289642896,911497.927103571,1074882.0
Waipara,2013-02-28,147570.45734472133,823284.5426552787,970855.0000000001
Waipara,2013-03-31,163384.07289642896,911497.927103571,1074882.0
Waipara,2013-04-30,158113.34107728268,882093.6589227174,1040207.0
Waipara,2013-05-31,169528.58289642897,911960.417103571,1081489.0
Waipara,2013-06-30,164058.83107728267,1079484.1689227172,1243543.0
Waipara,2013-07-31,246219.90289642895,1080039.097103571,1326259.0
Waipara,2013-08-31,241258.90289642895,1075078.097103571,1316337.0
Waipara,2013-09-30,216811.47107728268,1023728.5289227173,1240540.0
Waipara,2013-10-31,218710.40289642895,985630.5971035709,1204341.0
Waipara,2013-11-30,193438.35471364635,926330.6452863538,1119769.0
Waipara,2013-12-31,193105.88698733805,957157.1130126618,1150263.0
Waipara,2014-01-31,193105.88698733805,957157.1130126618,1150263.0
Waipara,2014-02-28,175402.9455265395,881421.0544734607,1056824.0000000002
Waipara,2014-03-31,193283.43244188352,978114.5675581165,1171398.0
Waipara,2014-04-30,187049.1828954645,946558.8171045355,1133608.0
Waipara,2014-05-31,193283.43244188352,1041518.5675581165,1234802.0
Waipara,2014-06-30,187049.1828954645,1218064.8171045356,1405114.0000000002
Waipara,2014-07-31,173904.18870224306,977298.811297757,1151203.0000000002
Waipara,2014-08-31,173904.18870224306,1028115.811297757,1202020.0000000002
Waipara,2014-09-30,168294.6174103185,994948.3825896814,1163243.0
Waipara,2014-10-31,173904.18870224306,1028115.811297757,1202020.0000000002
Waipara,2014-11-30,168294.6174103185,995350.3825896814,1163645.0
Waipara,2014-12-31,173904.18870224306,1026408.811297757,1200313.0000000002
Waipara,2015-01-31,173904.18870224306,1023170.811297757,1197075.0000000002
Waipara,2015-02-28,164716.89476402022,945181.10523598,1109898.0
Waipara,2015-03-31,191861.9758182886,1075882.0241817115,1267744.0000000002
Waipara,2015-04-30,185673.67958912966,1111893.3204108702,1297567.0
Waipara,2015-05-31,198053.00158164738,1172610.998418353,1370664.0000000002
Waipara,2015-06-30,222566.535028061,1266643.4649719389,1489210.0
Waipara,2015-07-31,209596.46766862104,1329285.5323313794,1538882.0000000002
Waipara,2015-08-31,218068.64966862104,1257697.350331379,1475766.0000000002
Waipara,2015-09-30,171088.91524515863,1042902.0847548413,1213990.9999999998
Waipara,2015-10-31,175367.64966862104,1111241.350331379,1286609.0000000002
Waipara,2015-11-30,169711.91524515863,1075394.0847548414,1245105.9999999998
Waipara,2015-12-31,175367.64966862104,1111241.350331379,1286609.0000000002
Waipara,2016-01-31,175367.64966862104,1083245.3503313789,1258613.0000000002
Waipara,2016-02-29,164055.41977119105,995496.5802288089,1159552.0
Waipara,2016-03-31,193014.80875953013,1109475.1912404697,1302490.0
Waipara,2016-04-30,187478.86979061316,1082479.1302093868,1269957.9999999998
Waipara,2016-05-31,193726.89966862107,1118563.1003313789,1312290.0000000002
Waipara,2016-06-30,187478.86979061316,1096539.1302093868,1284017.9999999998
Waipara,2016-07-31,379769.2443488229,1385929.7556511774,1765699.0000000002
Waipara,2016-08-31,364014.38434882293,1375618.6156511772,1739633.0000000002
Waipara,2016-09-30,202593.75850770474,1118576.2414922952,1321169.9999999998
Waipara,2016-10-31,166466.01765034968,1067654.9823496502,1234121.0
Waipara,2016-11-30,161096.1032214452,1030394.8967785549,1191491.0
Waipara,2016-12-31,166466.01765034968,1062194.9823496502,1228661.0
Waipara,2017-01-31,166466.01765034968,1059228.9823496502,1225695.0
Waipara,2017-02-28,150355.20413209012,953466.7958679098,1103822.0000000002
Waipara,2017-03-31,179401.75765034964,1109485.2423496505,1288887.0
Waipara,2017-04-30,200320.61822144518,1087548.381778555,1287869.0
Waipara,2017-05-31,206995.6526503497,1092251.3473496505,1299247.0000000002
Waipara,2017-06-30,200320.61822144518,1057015.381778555,1257336.0
Waipara,2017-07-31,161596.06865889666,1013617.9313411033,1175214.0
Waipara,2017-08-31,158530.08865889665,1012944.9113411033,1171475.0
Waipara,2017-09-30,152345.10946076142,973928.8905392386,1126274.0
Waipara,2017-10-31,155434.13532556337,998085.8646744366,1153520.0
Waipara,2017-11-30,149528.13946076142,964789.8605392386,1114318.0
Waipara,2017-12-31,154511.71310334114,996948.2868966588,1151460.0
Waipara,2018-01-31,154511.71310334114,996948.2868966588,1151460.0
Waipara,2018-02-28,140490.02485858585,903399.9751414141,1043889.9999999999
Waipara,2018-03-31,156491.14494949498,1009438.855050505,1165930.0
Waipara,2018-04-30,151443.38838383835,967583.6116161617,1119027.0000000002
Waipara,2018-05-31,156358.53494949496,1018988.465050505,1175347.0
Waipara,2018-06-30,157609.30838383836,984180.6916161617,1141790.0000000002
Waipara,2018-07-31,215391.13383838383,1208707.8661616163,1424099.0000000002
Waipara,2018-08-31,191544.91494949497,1200580.0850505051,1392125.0000000002
Waipara,2018-09-30,182083.35727272724,1155750.642727273,1337834.0000000002
Waipara,2018-10-31,177953.4803380627,1161658.5196619376,1339612.0000000002
Waipara,2018-11-30,184741.6069837099,1154993.3930162902,1339735.0000000002
Waipara,2018-12-31,193994.37764056757,1192529.6223594325,1386524.0000000007
Waipara,2019-01-31,193994.37764056757,1226042.6223594323,1420037.0000000002
Waipara,2019-02-28,175218.34794272206,1107390.6520572777,1282609.0000000005
Waipara,2019-03-31,193994.37764056757,1375297.6223594325,1569292.0
Waipara,2019-04-30,191733.78698370993,1374529.2130162905,1566263.0000000007
Waipara,2019-05-31,198207.39764056756,1377250.6023594325,1575458.0
Waipara,2019-06-30,172214.1469837099,1332624.8530162903,1504839.0000000007
Waipara,2019-07-31,950913.9394587493,6113036.060541251,7063949.999999999
Waipara,2019-08-31,920237.6717130846,5915846.328286912,6836083.999999998
